,individual,1st_photo,last_photo,bad_picture
120,SP05-ETL_220509_CR04_None_0341-F093-00,P1110018,P1110019,2nd pic not measured
121,SP05-ETL_220509_CR04_None_0341-F093-00,P1110020,NA,
122,SP05-ETL_220509_CR04_None_0341-F093-00,P1110022,,number measured with leaf
123,SP05-ETL_220509_CR04_None_0341-F094-00,P1110028,,one leaf missing
124,SP05-ETL_220509_CR04_None_0341-F095-00,P1110033,P1110034,2nd pic not measured
125,SP05-ETL_220509_CR04_None_0341-F095-00,P1110035,,
126,SP05-ETL_220509_CR04_None_0341-F096-00,P1110038,,
127,SP05-ETL_220509_CR04_None_0341-F097-00,P1110046,NA,"leaf partially out, light"
128,SP05-ETL_220509_CR04_None_0341-F097-00,P1110048,NA,light
129,SP05-ETL_220509_CR04_None_0341-F097-00,P1110049,NA,light
130,SP05-ETL_220509_CR04_None_0341-F097-00,P1110050,NA,light
131,SP05-ETL_220510_CR02_None_0359-F098-00,P1110127,,not perfect
132,SP05-ETL_220510_CR02_None_0359-F098-00,P1110129,P1110130,did not work
133,SP05-ETL_220510_CR02_None_0359-F098-00,P1110131,NA,did not work
134,SP05-ETL_220510_CR02_None_0359-F098-00,P1110132,NA,
135,SP05-ETL_220510_CR02_None_0359-F098-00,P1110134,NA,shadow
136,SP05-ETL_220510_CR02_None_0359-F099-00,P1110137,P1110138,"margin leaf shadow, 2nd pic not measured"
137,SP05-ETL_220510_CR02_None_0359-F099-00,P1110139,P1110140,"stam not calculated, 2nd pic not measured"
138,SP05-ETL_220510_CR02_None_0359-F099-00,P1110141,P1110142,"stam not calculated, 2nd pic not measured"
139,SP05-ETL_220510_CR02_None_0359-F099-00,P1110143,NA,
140,SP05-ETL_220510_CR02_None_0359-F099-00,P1110144,NA,shadow
141,SP05-ETL_220510_CR02_None_0359-F099-00,P1110145,NA,
142,SP05-ETL_220510_CR02_None_0359-F100-00,P1110147,NA,
143,SP05-ETL_220510_CR02_None_0359-F100-00,P1110148,NA,
144,SP05-ETL_220510_CR02_None_0359-F101-00,P1110153,P1110154,"wrong, shadows, square not found, 2nd pic not measured"
145,SP05-ETL_220510_CR02_None_0359-F102-00,P1110156,,
146,SP05-ETL_220510_CR02_None_0359-F103-00,P1110161,,
147,SP05-ETL_220510_CR02_None_0359-F104-00,P1110166,,leaf margin to wide
148,SP05-ETL_220510_CR02_None_0359-F105-00,P1110170,P1110171,"not all photos measured, 2nd pic not measured"
149,SP05-ETL_220510_CR02_None_0359-F105-00,P1110174,NA,
150,SP05-ETL_220510_CR02_None_0359-F106-00,P1110175,P1110176,2nd pic not measured
151,SP05-ETL_220510_CR02_None_0359-F107-00,P1110178,P1110179,"leaf margin shadow, 2nd pic not measured"
152,SP05-ETL_220510_CR02_None_0359-F107-00,P1110180,,
153,SP05-ETL_220521_OG46_None_0377-F108-00,P1110431,P1110432,"not good, 2nd pic not measured"
154,SP05-ETL_220521_OG46_None_0377-F109-00,P1110435,NA,shadow
155,SP05-ETL_220521_OG46_None_0377-F110-00,P1110440,NA,
156,SP05-ETL_220521_OG46_None_0377-F111-00,P1110444,NA,
157,SP05-ETL_220521_OG46_None_0377-F112-00,P1110447,NA,
158,SP05-ETL_220521_OG46_None_0377-F113-00,P1110450,NA,shadow
159,SP05-ETL_220521_OG46_None_0377-F114-00,P1110454,NA,flash on middle leaf
160,SP05-ETL_220521_OG46_None_0377-F115-00,P1110458,NA,
161,SP05-ETL_220521_OG46_None_0377-F116-00,P1110461,NA,"square not good, 1 leaf not measured"
162,SP05-ETL_220521_OG46_None_0377-F117-00,P1110464,NA,"margin shadow, 2nd leaf not measured"
163,SP05-ETL_220522_OG45_None_0381-F118-00,P1110568,NA,not good
164,SP05-ETL_220522_OG45_None_0381-F118-00,P1110570,P1110572,"margins, leaf out of frame, other pictures not measured"
165,SP05-ETL_220522_OG45_None_0381-F118-00,P1110573,P1110575,"margin shadows, other pictures not measured"
166,SP05-ETL_220522_OG45_None_0381-F118-00,P1110576,P1110579,"margin shadows, other pictures not measured"
167,SP05-ETL_220522_OG45_None_0381-F118-00,P1110581,P1110583,"margin shadows, other pictures not measured"
168,SP05-ETL_220522_OG45_None_0381-F119-00,P1110584,NA,margins shadows
169,SP05-ETL_220522_OG45_None_0381-F119-00,P1110585,NA,margins shadows
170,SP05-ETL_220522_OG45_None_0381-F120-00,P1110586,NA,margins shadows
171,SP05-ETL_220522_OG45_None_0381-F120-00,P1110587,NA,margins shadows
172,SP05-ETL_220522_OG45_None_0381-F121-00,P1110592,NA,
173,SP05-ETL_220522_OG45_None_0381-F122-00,P1110593,NA,
174,SP05-ETL_220522_OG45_None_0381-F123-00,P1110598,P1110599,margins shadows
176,SP05-ETL_220522_OG45_None_0381-F123-00,P1110599,NA,"flash, margins shadows"
177,SP05-ETL_220522_OG45_None_0381-F123-00,P1110600,P1110601,"margins shadows, 2nd pic measurment missing"
178,SP05-ETL_220522_OG45_None_0381-F123-00,P1110602,NA,"margin shadows, flash"
179,SP05-ETL_220522_OG45_None_0381-F123-00,P1110603,NA,"margin shadows, flash"
180,SP05-ETL_220522_OG45_None_0381-F123-00,P1110604,NA,not good
181,SP05-ETL_220522_OG45_None_0381-F124-00,P1110605,NA,square wrong selection
182,SP05-ETL_220522_OG45_None_0381-F124-00,P1110607,NA,"square wrong, margin shadows"
183,SP05-ETL_220522_OG45_None_0381-F125-00,P1110610,NA,square wrong
184,SP05-ETL_220522_OG45_None_0381-F126-00,P1110615,NA,flash
185,SP05-ETL_220522_OG45_None_0381-F127-00,P1110616,NA,"not good, square not on picture :("
186,SP05-ETL_220522_OG45_None_0381-F128-00,P1110620,NA,
187,SP05-ETL_220523_PR31_None_0383-F129-00,P1110709,P1110711,"margin shadows, last pic measurment missing"
188,SP05-ETL_220523_PR31_None_0383-F129-00,P1110712,P1110714,"margin shadows, last pic measurment missing"
189,SP05-ETL_220523_PR31_None_0383-F129-00,P1110715,P1110717,"margin shadows, last pic measurment missing"
190,SP05-ETL_220523_PR31_None_0383-F130-00,P1110720,NA,margin shadow
191,SP05-ETL_220523_PR31_None_0383-F130-00,P1110721,NA,
192,SP05-ETL_220523_PR31_None_0383-F131-00,P1110722,NA,margin shadow
193,SP05-ETL_220523_PR31_None_0383-F131-00,P1110723,NA,margin shadow
194,SP05-ETL_220523_PR31_None_0383-F132-00,P1110724,NA,margin shadow
195,SP05-ETL_220523_PR31_None_0383-F133-00,P1110727,NA,margin shadow
196,SP05-ETL_220523_PR31_None_0383-F133-00,P1110728,NA,stem not calculated
197,SP05-ETL_220523_PR31_None_0383-F133-00,P1110729,NA,margin shadow
198,SP05-ETL_220523_PR31_None_0383-F134-00,P1110732,NA,margin shadow
199,SP05-ETL_220523_PR31_None_0383-F135-00,P1110736,NA,stem parts missing
200,SP05-ETL_220523_PR31_None_0383-F135-00,P1110737,NA,
201,SP05-ETL_220523_PR31_None_0383-F136-00,P1110741,NA,"margin shadow, tip not measured"
202,SP05-ETL_220523_PR31_None_0383-F137-00,P1110742,NA,square wrong selection
203,SP05-ETL_220523_PR31_None_0383-F138-00,P1110746,NA,one leaf not measured
204,SP05-ETL_220523_PR31_None_0383-F139-00,P1110749,NA,two leaves not measured
205,SP05-ETL_220523_PR31_None_0383-F140-00,P1110750,NA,1 leaf not measured
206,SP05-ETL_220524_CR11_None_0385-F141-00,P1110805,NA,shadow
207,SP05-ETL_220524_CR11_None_0385-F141-00,P1110806,NA,shadow
208,SP05-ETL_220524_CR11_None_0385-F142-00,P1110811,NA,margin shadow
209,SP05-ETL_220524_CR11_None_0385-F142-00,P1110812,NA,margin shadow
210,SP05-ETL_220524_CR11_None_0385-F143-00,P1110816,NA,
211,SP05-ETL_220524_CR11_None_0385-F143-00,P1110817,NA,margin shadow
212,SP05-ETL_220524_CR11_None_0385-F144-00,P1110820,NA,margin shadow
213,SP05-ETL_220524_CR11_None_0385-F145-00,P1110824,NA,slightly margin shadow
214,SP05-ETL_220524_CR11_None_0385-F145-00,P1110825,NA,slightly margin shadow
215,SP05-ETL_220524_CR11_None_0385-F146-00,P1110829,NA,
216,SP05-ETL_220524_CR11_None_0385-F147-00,P1110835,NA,slightly margin shadow
217,SP05-ETL_220524_CR11_None_0385-F148-00,P1110836,NA,
218,SP05-ETL_220524_CR10_None_0386-F149-00,P1110840,NA,not recognize
219,SP05-ETL_220524_CR10_None_0386-F150-00,P1110838,NA,
220,SP05-ETL_220524_CR10_None_0386-F151-00,P1110843,NA,flash
221,SP05-ETL_220524_CR10_None_0386-F152-00,P1110845,NA,flash
222,SP05-ETL_220526_CR09_None_0468-F153-00,P1110961,NA,flash
223,SP05-ETL_220526_CR09_None_0468-F154-00,P1110965,NA,not all leaves recognized
224,SP05-ETL_220526_CR09_None_0468-F155-00,P1110967,NA,
225,SP05-ETL_220526_CR09_None_0468-F156-00,P1110975,NA,
226,SP05-ETL_220526_CR09_None_0468-F157-00,P1110979,NA,not recognize
227,SP05-ETL_220526_CR09_None_0468-F158-00,P1110980,NA,margin
228,SP05-ETL_220526_CR09_None_0468-F159-00,P1110983,NA,
229,SP05-ETL_220526_CR09_None_0468-F159-00,P1110987,NA,light
230,SP05-ETL_220526_CR09_None_0468-F160-00,P1110990,NA,margin
231,SP05-ETL_220526_CR09_None_0468-F161-00,P1110991,NA,
232,SP05-ETL_220526_CR09_None_0468-F162-00,P1110993,NA,
233,SP05-ETL_220526_CR09_None_0468-F162-00,P1110994,NA,
234,SP05-ETL_220526_CR09_None_0468-F163-00,P1110995,NA,
235,SP05-ETL_220526_CR09_None_0468-F163-00,P1110996,NA,flash on leaf
236,SP05-ETL_220526_CR09_None_0468-F163-00,P1110997,NA,"composed leaf, white area in between calculated"
237,SP05-ETL_220526_CR09_None_0468-F164-00,P1110998,NA,
238,SP05-ETL_220526_CR09_None_0468-F165-00,P1120005,NA,reflection 
239,SP05-ETL_220526_CR09_None_0468-F166-00,P1120008,NA,"flash, numbers connected to leaves"
240,SP05-ETL_220526_CR09_None_0468-F167-00,P1120010,NA,
